n	AMG	ALG	EAG
500	0.017027915	0.013705465	0.158243178
1000	0.006807402	0.013882221	0.913129353
1500	0.01466109	0.020150232	3.013955205
2000	0.026894344	0.008893698	7.478356462
2500	0.041799472	0.013614806	14.137677854
3000	0.059986566	0.018906094	24.437999551
3500	0.077348038	0.023919135	38.39936516
4000	0.103383118	0.030991101	59.332406977
4500	0.127172821	0.040899154	83.29487931
5000	0.164972466	0.05216595	115.239808282
