n	AMG	ALG	EAG
500	0.021144629	0.022005034	0.01178053
1000	0.065521894	0.023303338	0.019843473
1500	0.038401187	0.013027519	0.025653058
2000	0.059558359	0.01391073	0.019967774
2500	0.090871615	0.021287745	0.038957685
3000	0.112168482	0.033173758	0.034293596
3500	0.152746053	0.040704152	0.109152789
4000	0.19885097	0.051749718	0.095499211
4500	0.262312795	0.065765361	0.098297665
5000	0.310436155	0.077467206	0.20182903
