n	AMG	ALG	EAG
500	0.006692797	0.116873054	0.135934808
1000	0.014704423	0.002206604	0.866920094
1500	0.015613863	0.004499876	3.093749323
2000	0.027349349	0.007654123	7.185238445
2500	0.045721754	0.012833656	14.381511621
3000	0.060619468	0.016370495	24.364309801
3500	0.089037909	0.025685558	38.748161448
4000	0.108026109	0.028068919	57.357504679
4500	0.145605665	0.037105734	83.352788133
5000	0.167788595	0.047045717	116.129740921
