n	AMG	ALG	EAG
500	0.026249468	0.025978062	0.013235634
1000	0.015630399	0.011207497	0.016369354
1500	0.028972087	0.008597774	0.021876173
2000	0.049596711	0.01331603	0.037242006
2500	0.08334008	0.023437901	0.043756907
3000	0.131948095	0.040335244	0.054454661
3500	0.150154576	0.041742454	0.077455802
4000	0.202521231	0.0517902	0.144355255
4500	0.251980527	0.064544032	0.2058089
5000	0.308895523	0.078195328	0.252558121
