n	AMG	ALG	EAG
500	0.016379047	0.031474616	0.010165205
1000	0.027524966	0.01538237	0.024768705
1500	0.037204375	0.008642819	0.034039865
2000	0.050871638	0.015312238	0.041778375
2500	0.07851406	0.021301429	0.063926524
3000	0.11235094	0.030775003	0.074924194
3500	0.153523781	0.04157482	0.096563741
4000	0.200883668	0.05225889	0.109683629
4500	0.254277791	0.065924442	0.098457316
5000	0.309155526	0.083397669	0.172952163
